实际电压(V),容量(Ah),能量(Wh)
3.1599,269.8818,872.6382
3.1599,269.7492,872.2194
3.1598,269.6608,871.9402
3.1604,269.5282,871.5212
3.1602,269.4399,871.2421
3.1607,269.3073,870.8232
3.1609,269.2191,870.5443
3.1613,269.0865,870.1253
3.161,268.9979,869.8453
3.1611,268.8654,869.4266
3.1613,268.7774,869.1483
3.1614,268.6448,868.7293
3.1616,268.5565,868.4501
3.1619,268.424,868.0312
3.162,268.3357,867.7521
3.1621,268.2031,867.3329
3.1621,268.115,867.0541
3.1626,267.9816,866.6325
3.1624,267.8933,866.3531
3.1628,267.761,865.9348
3.1628,267.6711,865.6505
3.1629,267.5396,865.2349
3.1631,267.4066,864.8143
3.1633,267.3179,864.5337
3.1633,267.1862,864.117
3.1642,267.0979,863.8376
3.1639,266.9655,863.4189
3.1641,266.8773,863.1398
3.1639,266.7448,862.7209
3.1642,266.6566,862.4417
3.1649,266.5242,862.0229
3.1646,266.4352,861.741
3.1651,266.3028,861.3223
3.165,266.2146,861.0431
3.1652,266.0822,860.6243
3.1653,265.994,860.3451
3.1653,265.8617,859.9261
3.1654,265.7719,859.6422
3.1656,265.6411,859.2281
3.1656,265.5529,858.949
3.166,265.4206,858.5302
3.1666,265.3324,858.251
3.1662,265.2002,857.8323
3.1664,265.0679,857.4135
3.1667,264.9797,857.1342
3.1667,264.8475,856.7156
3.1673,264.7593,856.4363
3.1669,264.627,856.0176
3.1669,264.5389,855.7385
3.1677,264.4066,855.3195
3.1674,264.3185,855.0403
3.168,264.1862,854.6216
3.1678,264.0981,854.3423
3.1678,263.9659,853.9236
3.1682,263.8777,853.6442
3.1683,263.7455,853.2256
3.1685,263.6573,852.9462
3.1684,263.5252,852.5276
3.1685,263.437,852.2484
3.1688,263.3048,851.8295
3.1688,263.2165,851.5496
3.169,263.0836,851.1287
3.1692,262.9954,850.8486
3.1692,262.8634,850.4308
3.1697,262.7313,850.012
3.1698,262.6432,849.7328
3.1699,262.511,849.314
3.1699,262.4229,849.0349
3.1702,262.291,848.6165
3.1701,262.2016,848.3334
3.1702,262.0703,847.9172
3.1704,261.9825,847.6389
3.1706,261.8504,847.2199
3.1713,261.7624,846.9409
3.1709,261.6302,846.522
3.1714,261.5421,846.2426
3.1709,261.4101,845.8241
3.1709,261.3221,845.5449
3.1717,261.19,845.1261
3.1716,261.1019,844.8469
3.172,260.9698,844.428
3.1719,260.8817,844.1487
3.1721,260.7497,843.73
3.1722,260.6604,843.4468
3.172,260.5283,843.0279
3.1727,260.4404,842.7488
3.1723,260.3076,842.3278
3.1728,260.1763,841.9113
3.1728,260.0882,841.6319
3.173,259.9563,841.2133
3.1729,259.8672,840.9306
3.1729,259.7363,840.5153
3.173,259.6482,840.236
3.1731,259.5163,839.8173
3.1738,259.4282,839.538
3.1736,259.2963,839.1193
3.1735,259.2083,838.84
3.1736,259.0763,838.4214
3.1738,258.9883,838.1422
3.1738,258.8564,837.7234
3.174,258.7684,837.4442
3.1744,258.6364,837.0253
3.1743,258.5485,836.7462
3.1747,258.4165,836.3274
3.175,258.3286,836.0483
3.1747,258.1967,835.6296
3.1748,258.1087,835.3502
3.1754,257.9767,834.9313
3.1756,257.8441,834.5104
3.1758,257.7568,834.2332
3.1751,257.625,833.8146
3.1754,257.537,833.5354
3.1758,257.4052,833.1166
3.1756,257.3172,832.8375
3.1758,257.1853,832.4187
3.1758,257.0967,832.1374
3.1763,256.9651,831.7194
3.1761,256.8772,831.4401
3.1765,256.7446,831.0192
3.1764,256.6574,830.7421
3.1763,256.5255,830.3234
3.1769,256.4376,830.0441
3.1766,256.3058,829.6254
3.177,256.2179,829.3462
3.1767,256.0863,828.9283
3.177,255.9981,828.6481
3.1772,255.8652,828.2258
3.1772,255.7784,827.9501
3.1773,255.6466,827.5314
3.1775,255.5587,827.2522
3.1774,255.4269,826.8336
3.1777,255.2951,826.4147
3.1777,255.2072,826.1355
3.178,255.0754,825.7167
3.1779,254.9873,825.4367
3.1785,254.8557,825.0187
3.1784,254.7679,824.7395
3.1782,254.6361,824.3206
3.1784,254.5482,824.0415
3.1791,254.4164,823.6226
3.1787,254.3286,823.3434
3.179,254.1969,822.9248
3.1788,254.109,822.6456
3.1791,253.9773,822.2269
3.1791,253.8894,821.9476
3.1791,253.7577,821.5289
3.1791,253.6699,821.2496
3.1791,253.5382,820.831
3.1795,253.4503,820.5517
3.1795,253.3186,820.1329
3.1796,253.2308,819.8539
3.1797,253.099,819.4349
3.1798,252.9673,819.0161
3.1799,252.8795,818.737
3.1802,252.7478,818.3182
3.1807,252.66,818.0389
3.1808,252.5283,817.6202
3.1804,252.44,817.3394
3.1804,252.3084,816.9208
3.181,252.2205,816.6415
3.1812,252.0889,816.2228
3.1807,252.0011,815.9437
3.1813,251.8694,815.5248
3.1811,251.7816,815.2457
3.181,251.6497,814.8259
3.1811,251.5622,814.5475
3.1814,251.4296,814.1259
3.1813,251.3419,813.8469
3.1813,251.2102,813.428
3.1816,251.1224,813.1488
3.1821,250.9908,812.7302
3.1819,250.9016,812.4461
3.1819,250.7714,812.0319
3.1824,250.6398,811.6134
3.1825,250.5521,811.3342
3.1825,250.4205,810.9153
3.1825,250.3327,810.6362
3.1826,250.2011,810.2172
3.1825,250.1134,809.9382
3.1826,249.9818,809.5194
3.1826,249.894,809.2401
3.1835,249.7624,808.8214
3.1829,249.674,808.5402
3.183,249.5431,808.1234
3.183,249.4554,807.8443
3.1836,249.3238,807.4253
3.1833,249.2361,807.1462
3.1832,249.1045,806.7275
3.1833,249.0168,806.4481
3.1839,248.8851,806.0292
3.1837,248.7971,805.7488
3.1838,248.6655,805.33
3.1837,248.5778,805.0508
3.1839,248.4463,804.6321
3.1842,248.3586,804.353
3.1841,248.2271,803.9341
3.1842,248.0955,803.5153
3.1846,248.0078,803.236
3.1849,247.876,802.8165
3.1847,247.7886,802.5381
3.1848,247.6571,802.1194
3.1847,247.5694,801.8402
3.1848,247.4379,801.4213
3.1855,247.3502,801.1421
3.1854,247.2187,800.7233
3.1851,247.131,800.444
3.1856,246.9996,800.0255
3.1856,246.9119,799.7462
3.1854,246.7804,799.3274
3.1855,246.6927,799.0482
3.1854,246.5612,798.6293
3.186,246.4736,798.3501
3.186,246.3421,797.9313
