海辰280AhOCV-SOC电压,海辰280Ah0.5C放电电压,海辰280Ah0.04C放电电压,海辰280Ah0.5P放电电压,亿纬314Ah0.5P放电电压1,亿纬314Ah0.5P放电电压2,海辰280Ah模拟放电曲线
3.2873200000000002,3.1696,3.2599,3.2038,3.2033,3.2035,3.2038
3.28738,3.1698,3.26,3.204,3.2032,3.203,3.204
3.28744,3.17,3.2602,3.2042,3.2033,3.2033,3.2042
3.2875,3.17,3.2604,3.2042,3.2034,3.2036,3.2042
3.28756,3.1703,3.2606,3.2044,3.2037,3.2037,3.2044
3.28762,3.1705,3.2609,3.2047,3.204,3.2039,3.2047
3.28768,3.1707,3.2611,3.2049,3.2043,3.2044,3.2049
3.28774,3.1709,3.2613,3.2051,3.2044,3.2041,3.2051
3.2878000000000003,3.171,3.2616,3.2053,3.2042,3.2042,3.2053
3.2878600000000002,3.1712,3.2616,3.2055,3.2047,3.2049,3.2055
3.28792,3.1714,3.2618,3.2057,3.2046,3.2046,3.2057
3.28798,3.1716,3.262,3.2059,3.2051,3.2047,3.2059
3.28804,3.1717,3.2622,3.206,3.2052,3.2054,3.206
3.2881,3.1719,3.2623,3.2062,3.2054,3.2051,3.2062
3.28816,3.1721,3.2625,3.2064,3.2055,3.2056,3.2064
3.28822,3.1723,3.2627,3.2064,3.2056,3.2059,3.2064
3.2882800000000003,3.1724,3.2627,3.2068,3.2059,3.2059,3.2068
3.2883400000000003,3.1726,3.263,3.2068,3.2058,3.2058,3.2068
3.2884,3.1728,3.263,3.2072,3.2065,3.2058,3.2072
3.28846,3.173,3.2632,3.2073,3.2064,3.2061,3.2073
3.28852,3.1733,3.2634,3.2075,3.2065,3.2065,3.2075
3.28858,3.1735,3.2636,3.2076,3.2065,3.2068,3.2076
3.28864,3.1737,3.2637,3.2078,3.2069,3.2066,3.2078
3.2887,3.1737,3.2637,3.208,3.2068,3.207,3.208
3.2887600000000003,3.174,3.2639,3.2081,3.2072,3.207,3.2081
3.2888200000000003,3.1742,3.2641,3.2082,3.2071,3.2073,3.2082
3.2888800000000002,3.1744,3.2641,3.2084,3.2075,3.2073,3.2084
3.28894,3.1745,3.2643,3.2087,3.2074,3.2075,3.2087
3.289,3.1747,3.2644,3.2087,3.2074,3.208,3.2087
